kitchen-sinks/blanco-iron: images=0, specs=0, colors=0, other=0
kitchen-sinks/blanco-profina: images=0, specs=0, colors=0, other=0
kitchen-sinks/metroplace-double-bowl-sink-70-30: images=0, specs=1, colors=0, other=0
kitchen-sinks/nova-europa-50-50-with-center-drains: images=8, specs=1, colors=0, other=0
kitchen-sinks/leonet-bravo: images=7, specs=1, colors=0, other=0
kitchen-sinks/blanco-quatrus-r0: images=8, specs=0, colors=0, other=0
bathroom-vanity-sinks/continental-cermaic-vessel-style: images=7, specs=1, colors=0, other=0
bathroom-vanity-sinks/continental-cermaic-oval-undermount: images=7, specs=1, colors=0, other=0
bathroom-vanity-sinks/continental-cermaic-rectangular-undermount: images=7, specs=1, colors=0, other=0
bathroom-vanity-sinks/continental-cermaic-farmhouse-bathroom-vanity: images=7, specs=1, colors=0, other=0
bathroom-vanity-sinks/continental-cermaic-drop-in-style: images=7, specs=1, colors=0, other=0
